Time,Title,GPS,Cellular,Color,Size,Status,Warranty,Price,Link
2025-02-09_12,Apple Watch Ultra 2,Yes,Yes,Titanium,49,Újszerű,2 év,259990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-ultra-2-2023-gps-cellular-titanium-49mm--titanium/75268971/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,Apple Watch Ultra,Yes,Yes,Titanium,49,Újszerű,2 év,212990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-ultra-2022-gps-cellular-titanium-49mm--titanium/75268970/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,Apple Watch Series 9,Yes,Yes,Red Aluminium,45,Újszerű,2 év,147990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-9-2023-gps-cellular-aluminium-45mm--red/75268960/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,Apple Watch Series 9,Yes,Yes,Midnight Aluminium,45,Kiváló,2 év,142990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-9-2023-gps-cellular-aluminium-45mm--midnight/75268956/?shape=Kiv%C3%A1l%C3%B3
2025-02-09_12,Apple Watch Series 9,Yes,No,Red Aluminium,45,Újszerű,2 év,127990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-9-2023-gps-aluminium-45mm--red/75268969/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,Apple Watch Series 9,Yes,No,Midnight Aluminium,45,Kiváló,2 év,123990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-9-2023-gps-aluminium-45mm--midnight/75268965/?shape=Kiv%C3%A1l%C3%B3
2025-02-09_12,Apple Watch Series 9,Yes,No,Silver Aluminium,45,Nagyon jó,2 év,111990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-9-2023-gps-aluminium-45mm--silver/75268967/?shape=Nagyon%20j%C3%B3
2025-02-09_12,Apple Watch Series 7,Yes,Yes,Graphite Stainless Steel,45,Újszerű,2 év,107990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-7-2021-gps-cellular-stainless-steel-45mm--graphite/75268911/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,Apple Watch SE,Yes,Yes,Silver Aluminium,44,Kiváló,2 év,98990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-se-2022-gps-cellular-aluminium-44mm--silver/75268856/?shape=Kiv%C3%A1l%C3%B3
2025-02-09_12,Apple Watch Series 6,Yes,Yes,Space Black Titanium,44,Újszerű,2 év,97990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-6-2020-gps-cellular-titanium-44mm--space-black/75268884/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,Apple Watch Series 8,Yes,No,Midnight Aluminium,45,Újszerű,2 év,96990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-8-2022-gps-aluminium-45mm--midnight/75268938/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,Apple Watch Series 8,Yes,No,Red Aluminium,45,Újszerű,2 év,96990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-8-2022-gps-aluminium-45mm--red/75268941/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,Apple Watch Series 7,Yes,Yes,Midnight Aluminium,45,Újszerű,2 év,95990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-7-2021-gps-cellular-aluminium-45mm--midnight/75268906/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,Apple Watch Series 7,Yes,Yes,Starlight Aluminium,45,Kiváló,2 év,93990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-7-2021-gps-cellular-aluminium-45mm--starlight/75268905/?shape=Kiv%C3%A1l%C3%B3
2025-02-09_12,Apple Watch Series 7,Yes,Yes,Blue Aluminium,45,Kiváló,2 év,93990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-7-2021-gps-cellular-aluminium-45mm--blue/75268907/?shape=Kiv%C3%A1l%C3%B3
2025-02-09_12,Apple Watch Series 8,Yes,Yes,Red Aluminium,41,Nagyon jó,2 év,93990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-8-2022-gps-cellular-aluminium-41mm--red/75268923/?shape=Nagyon%20j%C3%B3
2025-02-09_12,Apple Watch Series 8,Yes,Yes,Starlight Aluminium,45,Jó,2 év,93990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-8-2022-gps-cellular-aluminium-45mm--starlight/75268932/?shape=J%C3%B3
2025-02-09_12,Apple Watch Series 6,Yes,Yes,Graphite Stainless Steel,44,Újszerű,2 év,92990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-6-2020-gps-cellular-stainless-steel-44mm--graphite/75268881/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,Apple Watch Series 6,Yes,Yes,Gold Stainless Steel,44,Újszerű,2 év,92990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-6-2020-gps-cellular-stainless-steel-44mm--gold/75268882/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,Apple Watch Series 7,Yes,Yes,Silver Stainless Steel,45,Kiváló,2 év,91990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-7-2021-gps-cellular-stainless-steel-45mm--silver/75268910/?shape=Kiv%C3%A1l%C3%B3
2025-02-09_12,Apple Watch Series 7,Yes,Yes,Red Aluminium,41,Kiváló,2 év,90990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-7-2021-gps-cellular-aluminium-41mm--red/75268894/?shape=Kiv%C3%A1l%C3%B3
2025-02-09_12,Apple Watch SE,Yes,Yes,Silver Aluminium,40,Kiváló,2 év,89990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-se-2022-gps-cellular-aluminium-40mm--silver/75268850/?shape=Kiv%C3%A1l%C3%B3
2025-02-09_12,Apple Watch Series 6,Yes,Yes,Silver Stainless Steel,44,Kiváló,2 év,89990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-6-2020-gps-cellular-stainless-steel-44mm--silver/75268880/?shape=Kiv%C3%A1l%C3%B3
2025-02-09_12,Apple Watch SE,Yes,Yes,Midnight Aluminium,44,Nagyon jó,2 év,88990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-se-2022-gps-cellular-aluminium-44mm--midnight/75268854/?shape=Nagyon%20j%C3%B3
2025-02-09_12,Apple Watch SE,Yes,Yes,Starlight Aluminium,44,Nagyon jó,2 év,88990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-se-2022-gps-cellular-aluminium-44mm--starlight/75268855/?shape=Nagyon%20j%C3%B3
2025-02-09_12,Apple Watch Series 6,Yes,Yes,Silver Aluminium,44,Újszerű,2 év,88990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-6-2020-gps-cellular-aluminium-44mm--silver/75268875/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,Apple Watch Series 6,Yes,Yes,Blue Aluminium,44,Újszerű,2 év,88990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-6-2020-gps-cellular-aluminium-44mm--blue/75268878/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,Apple Watch Series 6,Yes,Yes,Red Aluminium,44,Újszerű,2 év,88990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-6-2020-gps-cellular-aluminium-44mm--red/75268879/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,Apple Watch Series 8,Yes,No,Midnight Aluminium,41,Kiváló,2 év,88990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-8-2022-gps-aluminium-41mm--midnight/75268927/?shape=Kiv%C3%A1l%C3%B3
2025-02-09_12,Apple Watch Series 7,Yes,Yes,Midnight Aluminium,41,Nagyon jó,2 év,81990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-7-2021-gps-cellular-aluminium-41mm--midnight/75268891/?shape=Nagyon%20j%C3%B3
2025-02-09_12,Apple Watch Series 7,Yes,Yes,Blue Aluminium,41,Nagyon jó,2 év,81990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-7-2021-gps-cellular-aluminium-41mm--blue/75268892/?shape=Nagyon%20j%C3%B3
2025-02-09_12,Apple Watch SE,Yes,Yes,Midnight Aluminium,40,Nagyon jó,2 év,80990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-se-2022-gps-cellular-aluminium-40mm--midnight/75268848/?shape=Nagyon%20j%C3%B3
2025-02-09_12,Apple Watch SE,Yes,Yes,Starlight Aluminium,40,Nagyon jó,2 év,80990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-se-2022-gps-cellular-aluminium-40mm--starlight/75268849/?shape=Nagyon%20j%C3%B3
2025-02-09_12,Apple Watch Series 6,Yes,Yes,Blue Aluminium,40,Újszerű,2 év,80990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-6-2020-gps-cellular-aluminium-40mm--blue/75268863/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,Apple Watch Ultra 2,Yes,Yes,Titanium,49,Újszerű,2 év,259990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-ultra-2-2023-gps-cellular-titanium-49mm--titanium/75268971/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,Apple Watch Ultra,Yes,Yes,Titanium,49,Újszerű,2 év,212990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-ultra-2022-gps-cellular-titanium-49mm--titanium/75268970/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,Apple Watch Series 9,Yes,Yes,Red Aluminium,45,Újszerű,2 év,147990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-9-2023-gps-cellular-aluminium-45mm--red/75268960/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,Apple Watch Series 9,Yes,Yes,Midnight Aluminium,45,Kiváló,2 év,142990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-9-2023-gps-cellular-aluminium-45mm--midnight/75268956/?shape=Kiv%C3%A1l%C3%B3
2025-02-09_12,Apple Watch Series 6,Yes,Yes,Red Aluminium,40,Újszerű,2 év,80990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-6-2020-gps-cellular-aluminium-40mm--red/75268864/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,Apple Watch Series 7,Yes,Yes,Green Aluminium,45,Jó,2 év,80990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-7-2021-gps-cellular-aluminium-45mm--green/75268908/?shape=J%C3%B3
2025-02-09_12,Apple Watch Series 7,Yes,No,Midnight Aluminium,45,Újszerű,2 év,80990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-7-2021-gps-aluminium-45mm--midnight/75268916/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,Apple Watch Series 7,Yes,No,Blue Aluminium,45,Újszerű,2 év,80990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-7-2021-gps-aluminium-45mm--blue/75268917/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,Apple Watch Series 7,Yes,No,Green Aluminium,45,Újszerű,2 év,80990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-7-2021-gps-aluminium-45mm--green/75268918/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,Apple Watch Series 7,Yes,No,Red Aluminium,45,Újszerű,2 év,80990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-7-2021-gps-aluminium-45mm--red/75268919/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,Apple Watch Series 8,Yes,No,Starlight Aluminium,41,Nagyon jó,2 év,80990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-8-2022-gps-aluminium-41mm--starlight/75268928/?shape=Nagyon%20j%C3%B3
2025-02-09_12,Apple Watch Series 8,Yes,No,Silver Aluminium,41,Nagyon jó,2 év,80990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-8-2022-gps-aluminium-41mm--silver/75268929/?shape=Nagyon%20j%C3%B3
2025-02-09_12,Apple Watch SE,Yes,No,Starlight Aluminium,44,Újszerű,2 év,79990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-se-2022-gps-aluminium-44mm--starlight/75268858/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,Apple Watch Series 6,Yes,Yes,Silver Stainless Steel,40,Nagyon jó,2 év,79990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-6-2020-gps-cellular-stainless-steel-40mm--silver/75268865/?shape=Nagyon%20j%C3%B3
2025-02-09_12,Apple Watch SE,Yes,No,Midnight Aluminium,44,Kiváló,2 év,77990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-se-2022-gps-aluminium-44mm--midnight/75268857/?shape=Kiv%C3%A1l%C3%B3
2025-02-09_12,Apple Watch Series 7,Yes,No,Starlight Aluminium,45,Kiváló,2 év,77990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-7-2021-gps-aluminium-45mm--starlight/75268915/?shape=Kiv%C3%A1l%C3%B3
2025-02-09_12,Apple Watch Series 7,Yes,No,Blue Aluminium,41,Újszerű,2 év,76990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-7-2021-gps-aluminium-41mm--blue/75268902/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,Apple Watch Series 7,Yes,No,Green Aluminium,41,Újszerű,2 év,76990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-7-2021-gps-aluminium-41mm--green/75268903/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,Apple Watch Series 8,Yes,No,Red Aluminium,41,Jó,2 év,76990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-8-2022-gps-aluminium-41mm--red/75268930/?shape=J%C3%B3
2025-02-09_12,Apple Watch Series 6,Yes,Yes,Space Gray Aluminium,44,Nagyon jó,2 év,75990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-6-2020-gps-cellular-aluminium-44mm--space-gray/75268877/?shape=Nagyon%20j%C3%B3
2025-02-09_12,Apple Watch Series 5,Yes,Yes,Gold Stainless Steel,44,Újszerű,2 év,73990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-5-2019-gps-cellular-stainless-steel-44mm--gold/75268837/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,Apple Watch Series 7,Yes,No,Midnight Aluminium,41,Kiváló,2 év,73990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-7-2021-gps-aluminium-41mm--midnight/75268901/?shape=Kiv%C3%A1l%C3%B3
2025-02-09_12,Apple Watch Series 6,Yes,No,Space Gray Aluminium,44,Újszerű,2 év,72990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-6-2020-gps-aluminium-44mm--space-gray/75268887/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,Apple Watch Series 6,Yes,No,Blue Aluminium,44,Újszerű,2 év,72990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-6-2020-gps-aluminium-44mm--blue/75268888/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,Apple Watch Series 6,Yes,Yes,Silver Aluminium,40,Nagyon jó,2 év,70990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-6-2020-gps-cellular-aluminium-40mm--silver/75268860/?shape=Nagyon%20j%C3%B3
2025-02-09_12,Apple Watch Series 6,Yes,Yes,Gold Aluminium,40,Nagyon jó,2 év,70990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-6-2020-gps-cellular-aluminium-40mm--gold/75268861/?shape=Nagyon%20j%C3%B3
2025-02-09_12,Apple Watch Series 6,Yes,No,Red Aluminium,44,Kiváló,2 év,70990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-6-2020-gps-aluminium-44mm--red/75268889/?shape=Kiv%C3%A1l%C3%B3
2025-02-09_12,Apple Watch SE,Yes,No,Silver Aluminium,44,Nagyon jó,2 év,69990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-se-2022-gps-aluminium-44mm--silver/75268859/?shape=Nagyon%20j%C3%B3
2025-02-09_12,Apple Watch Series 6,Yes,No,Red Aluminium,40,Kiváló,2 év,68990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-6-2020-gps-aluminium-40mm--red/75268874/?shape=Kiv%C3%A1l%C3%B3
2025-02-09_12,Apple Watch Series 5,Yes,Yes,Space Gray Aluminium,44,Kiváló,2 év,66990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-5-2019-gps-cellular-aluminium-44mm--space-gray/75268835/?shape=Kiv%C3%A1l%C3%B3
2025-02-09_12,Apple Watch Series 7,Yes,No,Starlight Aluminium,41,Nagyon jó,2 év,65990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-7-2021-gps-aluminium-41mm--starlight/75268900/?shape=Nagyon%20j%C3%B3
2025-02-09_12,Apple Watch Series 5,Yes,Yes,Silver Stainless Steel,44,Nagyon jó,2 év,63990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-5-2019-gps-cellular-stainless-steel-44mm--silver/75268836/?shape=Nagyon%20j%C3%B3
2025-02-09_12,Apple Watch Series 6,Yes,No,Gold Aluminium,40,Nagyon jó,2 év,61990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-6-2020-gps-aluminium-40mm--gold/75268871/?shape=Nagyon%20j%C3%B3
2025-02-09_12,Apple Watch Series 6,Yes,No,Blue Aluminium,40,Nagyon jó,2 év,61990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-6-2020-gps-aluminium-40mm--blue/75268873/?shape=Nagyon%20j%C3%B3
2025-02-09_12,Apple Watch Series 7,Yes,No,Red Aluminium,41,Jó,2 év,61990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-7-2021-gps-aluminium-41mm--red/75268904/?shape=J%C3%B3
2025-02-09_12,Apple Watch Series 5,Yes,Yes,Silver Stainless Steel,40,Nagyon jó,2 év,59990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-5-2019-gps-cellular-stainless-steel-40mm--silver/75268821/?shape=Nagyon%20j%C3%B3
2025-02-09_12,Apple Watch Series 6,Yes,No,Space Gray Aluminium,40,Jó,2 év,58990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-6-2020-gps-aluminium-40mm--space-gray/75268872/?shape=J%C3%B3
2025-02-09_12,Apple Watch Series 5,Yes,No,Space Gray Aluminium,44,Kiváló,2 év,56990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-5-2019-gps-aluminium-44mm--space-gray/75268847/?shape=Kiv%C3%A1l%C3%B3
2025-02-09_12,Apple Watch Series 6,Yes,Yes,Red Aluminium,40,Újszerű,2 év,80990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-6-2020-gps-cellular-aluminium-40mm--red/75268864/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,Apple Watch Series 7,Yes,Yes,Green Aluminium,45,Jó,2 év,80990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-7-2021-gps-cellular-aluminium-45mm--green/75268908/?shape=J%C3%B3
2025-02-09_12,Apple Watch Series 7,Yes,No,Midnight Aluminium,45,Újszerű,2 év,80990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-7-2021-gps-aluminium-45mm--midnight/75268916/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,Apple Watch Series 7,Yes,No,Blue Aluminium,45,Újszerű,2 év,80990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-7-2021-gps-aluminium-45mm--blue/75268917/?shape=%C3%9Ajszer%C5%B1
2025-02-09_12,Apple Watch Series 5,Yes,Yes,Space Gray Aluminium,40,Jó,2 év,54990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-5-2019-gps-cellular-aluminium-40mm--space-gray/75268820/?shape=J%C3%B3
2025-02-09_12,Apple Watch SE,Yes,No,Space Gray Aluminium,44,Nagyon jó,2 év,51990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-se-2020-gps-aluminium-44mm--space-gray/75268817/?shape=Nagyon%20j%C3%B3
2025-02-09_12,Apple Watch Series 5,Yes,No,Gold Aluminium,40,Jó,2 év,46990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-5-2019-gps-aluminium-40mm--gold/75268831/?shape=J%C3%B3
2025-02-09_12,Apple Watch Series 5,Yes,Yes,Space Gray Aluminium,40,Jó,2 év,54990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-5-2019-gps-cellular-aluminium-40mm--space-gray/75268820/?shape=J%C3%B3
2025-02-09_12,Apple Watch SE,Yes,No,Space Gray Aluminium,44,Nagyon jó,2 év,51990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-se-2020-gps-aluminium-44mm--space-gray/75268817/?shape=Nagyon%20j%C3%B3
2025-02-09_12,Apple Watch Series 5,Yes,No,Gold Aluminium,40,Jó,2 év,46990,https://www.rejoy.hu/hu/shop/apple/okosorak-apple-watch-series-5-2019-gps-aluminium-40mm--gold/75268831/?shape=J%C3%B3
